Program,Organization Name,Domain Name,Service Factor,Service Type,Street,City,Zip,Phone,Alternate Phone,Fax,Office Hours,Website,Contact Person,Contact Email,General Eligibility, Eligibility Notes,Ages Served,Program Duplication Permitted,Location Eligibility ,Alternative Address,Services Provided,Services Notes,Service Hours,Service Hours Details,Evidence Based,Fees,Duration/Length of Service,Referral Type,Preferred Referral Type,Schedule Availability,Referral Form Provided,Waitlist,Screening Tools Used:,Referral Source Response Time,Notes/Comments
,Language Resources,,,Immigration,406 West Fisher Ave. ,Greensboro,27401,336-279-1199,,,,,,,Immigrants,,,,,,,Private translation services,,,,,,,,,,,,,
,New Arrivals Institute,,,Immigration,2714 W. Market St. ,Greensboro,27403,336-937-4701,,,,,,,Immigrants,,,,,,,,,,,,,,,,,,,,
WIC,Guilford County DHHS,,,Lactation Support,1100 East Wendover Avenue,Greensboro,27405,336-641-4114,,,,,,,Breastfeeding Parents,,,,,,,Introductory Breastfeeding Classes,,,,,,,,,,,,,
WIC,Guilford County DHHS,,,Lactation Support,501 E. Green Dr. ,High Point,,336-641-7689,,,,,,,Breastfeeding Parents,,,,,,,,,,,,,,,,,,,,
Breastfeeding Your Baby,Cone Health Women's Hospital,,,Lactation Support,801 Green Valley Rd. ,Greensboro,27408,336-832-6682,336-832-6848,,,,,,Breastfeeding Parents,,,,,,,Breastfeeding Class meets for two consecutive weeks or one longer class,,,,,,,,,,,,,
Breastf Friend Club,Guilford County DHHS,,,Lactation Support,1100 East Wendover Avenue,Greensboro,27405,336-641-4817,,,,,,,Breastfeeding Parents,,,,,,,Breastfeeding Support 2nd Friday of every month 10am-11am,,,,,,,,,,,,,
Breastfeeding Support Group,Cone Health Women's Hospital,,,Lactation Support,801 Green Valley Rd. ,Greensboro,27408,336-832-6682,336-832-6848,,,,,,Breastfeeding Parents,,,,,,,Breastfeeding Support Group meets every Tuesday at 11am,,,,,,,,,,,,,
Mommy and Me,WFBH High Point Medical Center,,,Lactation Support,601 N. Elm St.,High Point,,336-878-6888,,,,,,,Breastfeeding Parents,,,,,,,Breastfeeding Support Group every Wednesday at 11am,,,,,,,,,,,,,
Breastfeeding Support Group,La Leche League,,,Lactation Support,6324 Ballinger Rd. ,Greensboro,,336-855-1567,336-501-1878,,,,,,Breastfeeding Parents,,,,,,,Meets first friday of the month at 10am (except June - August),,,,,,,,,,,,,
Breastfeeding Support Group,Mahogany Milk Support Group,,,Lactation Support,313 S. Greene St.,Greensboro,27401,,,,,,,,Breastfeeding Parents,,,,,,,Meets first Saturday of each month 11am - 12:30pm (except December & January),,,,,,,,,,,,,
Inpatient Services,Cone Health Behavioral Health,,,Mental Health,700 Walter Reed Drive ,Greensboro,,HelpLine: 336-832-9700 or 1-800-711-2635,,,,https://www.conehealth.com/locations/behavioral-health-hospital/,,,"Adults, Young Adults, Adolescents, and Children (5-17)",,,,,,,Variety of Inpatient Services,,,,,,,,,,,,,
Outpatient Services,Cone Health Behavioral Health,,,Mental Health,,,,,,,,,,,"Children, Adolescents, and Adults",,,,,,,"Individualized Outpatient Services, group therapy, substance abuse group therapy, adolescent substance abuse group therapy (13-17), partial hospitalization for adults",,,,,,,,,,,,,
,Cornerstone Psycological Services,,,Mental Health,2711A PINEDALE ROAD,Greensboro,27408,(336) 540-9400,,,,https://www.cornerstonepsychological.com/,,,"Individuals, Couples, Families, and Businesses",,,,,,,"Broad range of counseling and therapy for adults, adolescents, and children",,,,,,,,,,,,,
Expectant Parenting Classes,WFBH High Point Medical Center,,,New Parent Classes,601 N. Elm St.,High Point,,336-878-6888,,,,,,,Expectant Couples,,,,,,,Expectant Parenting Classes Mondays 6:30p-8:30p; every other saturday 9a-5pm; Must call for dates,,,,,,,,,,,,,
Just Teens Clinic,Guilford County DHHS,,,Other Health Care Providers,1100 East Wendover Ave,Greensboro ,27405,336-641-3245,,,,https://www.guilfordcountync.gov/our-county/human-services/health-department/adult-health-services/justteens,,,Male/Female Teens under 20,,,,,,,"Services range from Acne to Zits assistance, physicals, immunizations and other health services.",,,,,,,,,,,,,
Just Teens Clinic,Guilford County DHHS,,,Other Health Care Providers,501 E. Green Dr.,High Point,27260,336-641-3245,,,,https://www.guilfordcountync.gov/our-county/human-services/health-department/adult-health-services/justteens,,,Male/Female Teens under 20,,,,,,,"Services range from Acne to Zits assistance, physicals, immunizations and other health services.",,,,,,,,,,,,,
Parenting Under Two Roofs,Children's Home Society,,,Parenting Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court Watch,Court Watch of North Carolina,,,Parenting Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triad Moms on Main,Triad Moms on Main,,,Parenting Support Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Filled Hearts ,WFBH High Point Medical Center,,,Postpartum,601 N. Elm St.,High Point,,336-609-7383,,,,,,,Postartum Parents,,,,,,,Support Group 1st Wednesday of Each month 12pm; 3rd Tuesday of Each month at 6:30p,,,,,,,,,,,,,
Mom Talk Support Group,Cone Health Women's Hospital,,,Postpartum,801 Green Valley Rd. ,Greensboro,27408,336-832-6682,336-832-6848,,,,,,Postartum Parents,,,,,,,Support Group Meets every Tuesday at 10am and Thursday at 6pm,,,,,,,,,,,,,
Quitline,Smoking Cessation,,,Quitline,,,,1-800-784-8669,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Break,West Market Church,,,Respite Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Family Caregiver Support Program,,,,Respite Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Day Care Vouchers,Guilford  County DHHS,,,Social Services,,Greensboro,,336-641-3715,,,,,,,Income Eligible ,,,,,,,,,,,,,,,,,,,,
Child Day Care Vouchers,Guilford  County DHHS,,,Social Services,,High Point,,336-641-7771,,,,,,,Income Eligible ,,,,,,,,,,,,,,,,,,,,
WIC,Guilford County DHHS,,,Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sandhills,,,Substance Use Services,,,,1-800-256-2452,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fellowship Hall,,,Substance Use Services,,,,1-800-659-3381,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caring Services,,,Substance Use Services,,,,336-886-5594,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ringer Center,,,Substance Use Services,213 E Bessemer Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelter,YWCA Greensboro,,,Transitional Housing,1807 E. Wendover Ave. ,Greensboro,27405,336-333-0175,,,,,,,Families,,,,,,,,,,,,,,,,,,,,
Carpenter House,Family Service of the Piedmont,,,Transitional Housing,Provided As Needed by Shelter,,,336-889-7273,,,,,,,Women DV; Families DV (Mom with Children),,,,,,,,,,,,,,,,,,,,
Clara House,Family Service of the Piedmont,,,Transitional Housing,Provided As Needed by Shelter,,,336-273-7273,,,,,,,DV; Families DV (Mom with Children),,,,,,,,,,,,,,,,,,,,
Arthur Cassel,Open Door Ministries,,,Transitional Housing,1022 True Lane,High Point ,27260,336-885-2166,,,,,,,Veterans,,,,,,,,,,,,,,,,,,,,
Leslie's House,West End Ministries,,,Transitional Housing,851 English Rd. ,High Point ,27262,336-884-1039,,,,,,,Women,,,,,,,,,,,,,,,,,,,,
My Sister Susan's House,Youth Focus,,,Transitional Housing,Provided As Needed by Shelter,,,336-335-1185,,,,,,,Women 16-21 (pregnant/parent),,,,,,,,,,,,,,,,,,,,
Partnership Village,Greensboro Urban Ministry,,,Transitional Housing,135 Greenbriar Rd. ,Greensboro,27405,336-286-6401,,,,,,,"Men, Women, Families",,,,,,,,,,,,,,,,,,,,
Pathways Family Shelter,Greensboro Urban Ministry,,,Transitional Housing,3517 N. Church St. ,Greensboro,27405,336-271-5988,,,,,,,Families,,,,,,,,,,,,,,,,,,,,
Room at the Inn,Room at the Inn,,,Transitional Housing,734 Park Avenue ,Greensboro,27405,336-996-3788,,,,,,,Pregnant Women and families,,,,,,,,,,,,,,,,,,,,
Act Together,Youth Focus,,,Transitional Housing,1601 Huffine Mill Rd. ,Greensboro,27405,336-375-1332,,,,,,,"Male, Female Youth (Runaway)",,,,,,,,,,,,,,,,,,,,
,Salvation Army ,,,Utilities Assistance,,,,336-881-5420,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Door Ministry ,,,Utilities Assistance,,,,336-885-0191,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helping Hands ,,,Utilities Assistance,,,,336-886-7696,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Assistance,Greensboro Urban Ministry,,,Utilities Assistance,,,,336-271-5959,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIEP,,,Utilities Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West End Ministry ,,,Utilities Assistance,,,,336-884-1105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Assistance,Welfare Reform Liasion Project,,,Utilities Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Steps,Children's Home Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partnering for Healthy Parenting,Children's Home Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Bank Directory,Greater High Point Food Alliance,,,Food/Nutrition Assistance,,,,,,,,https://findfood.ghpfa.org/,,,High Point Residents,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
